,title,content
34,국민카드 체크카드 소액신용,"소액신용30만원 했는데
이게 인출도 가능한가요?"
35,국민 노리카드 체크카드 다 쓰면 신용카드로 넘어가는거 쓰려고 하는데요 매달 15일에 돈이 나간다고 하는데 그럼 제가 지금 신청해서 쓰면 그 돈은 다음달 15일에 나가는건가요? 아님 이번달 15일에 나가는건가요? ㅜㅜ,
36,"KB국민카드 체크카드를 분실했는데요.
일단 분실신고는 했는데 내일 은행가서 바로 재발급 받을 수 있나요? /만약 새로 발급받으면 컴퓨터에 저장되어있는 기존의 공인인증서는 효력을 잃어 다시 새로 저장해야하나요??
/분실신고를 하면 일단 잃어버린 체크카드는 정지가 된건가요?",
37,Kb국민카드 체크카드학생증 교통카드 표시가 잇는데 지하철 사용 가능 해요??,
38,국민카드 체크 노리 카드를 쓰는데 그한도 -30만원까지 돈을 쓸 수있거든요 그래서 그때인터넷 쇼핑몰에서 -30까지되서 옷을 사고 환불 처리를 했는데 그건 이제 한 모레쯤이나 될것같고 -30만원을 오늘 갚았는데 그럼 그 환불한 옷 값이 제통장 현금으로 다시 들어오나요???,
39,"KB국민카드 체크카드 질문이있어요
만드는데 여권이나 주민등록증 있으면 오버액션 체크카드 만들수있나요? 혹시 처음만드는데 더필여한건 없나요 방문해서 만들거에요

그리고 제아는동생도 만들려고하는데 이친구는 국민one카드가 있습니다
국민은행 가서 여권있으면 오버액션체크카드를 만들수있을까요?",
40,국민카드 신용카드 체크카드 질문,"현재 국민카드 사용중에 있는데

승인 한도를 100만원으로 해놨습니다.

신용카드로 70만원까지 이용했고

체크카드로 40만원 결제 하려고 하면 안되는데

신용카드 승인한도랑 체크카드 승인한도를 별도로 사용할수 없나요?

사용하기가 굉장히 까다롭네요.. "
41,국민카드 체크카드,제가 학생인데 체크카드를 잃어버렸거든요. 근데 은행 방문 안 하고 발급받을 수 있나요?? 도저히 시간이 안 나서요.. 계속 이용해왔습니다
42,국민행복카드 체크카드 올원페이(NH앱카드)에 등록 가능하나요?,정보 정확히 다 썼는데 타사카드라고 떠요..
43,국민카드 체크카드 출금 관련,"국민카드 체크카드 2개를 사용중입니다.
둘 다 계좌는 다르구요
근데 2개 다 결제하면 한 계좌에서 출금이 되는데 왜 이런건가요?*"
44,국민카드 체크카드가 있으면 신용카드 첫발급 연회비캐시백 안되나요?,"카드사마다 해당회사의 신용카드를 처음만들면 연회비 캐시백을 해주잖아요
제가 국민은행을 체크카드만 썼습니다.
그리고 신용카드도 하나 만들려고 하는데 이러면 연회비 캐시백 대상이 아닌건가요?"
