,content
35,"이카드 내역볼려면 어디들어가야하나요?
bc카드들어가니깐 체크카드 보유해야 회원가입이 된다고하고 안되던데..

구글페이먼트 코리아에서 자동이체가 됬는데
어떤아이디로된건지 몰라서
어디로 전화해야되나요? 
혹은 인터넷으로 취소가능한가요?"
36,"새마을금고 카카오페이 체크카드 사용하고 있는데

이게 전월 실적 15만원 이상인데 휴대폰 요금을 이 체크카드로 자동이체 하게 되면 그 요금도 전월 실적에 포함이 되는건가요??"
37,"제가 새마을금고 카카오페이 체크카드를 카카오페이에 등록했는데요.
그럼 카드를 사용하면 카카오페이에서 돈이 빠져나가나요 아님 새마을금고에서 돈이 빠져나가나요?"
38,새마을금고 카카오페이 체크카드를 사용중인데 카카오페이 15%할인이 오프라인도 된다는 답변을 받았는데요. 카카오페이 제휴매장에 가서 카카오페이로 결제한다고한고 실물카드로 결제하면 되는겅가요??
39,"평소에 MG카드를 쓰고 있었는데, 카카오뱅크로 주로 쓰게 되었습니다. MG카드에는 혜택이 많아서 인터넷에서 결제를 할때마다 카카오뱅크에 있는 돈을 MG카드에 옮겨썼는데 요즘 이상하게 혜택할인이 안됩니다."
40,계좌확인 분명히 눌러서 확인되었습니다 라고 떴는데 마지막에 신청할라그러면 계속 이렇게 뜨는데 뭐가 잘못된건가요?ㅠㅠ 인터넷으로 해도 자꾸 계좌번호를 확인하라고 뜨네요ㅠㅠ
41,새마을금고 카카오페이 체크카드를 카카오페이 등록하다가 비밀번호 앞자리 2개 누르는걸3번 잘못눌러서 오류횟수 초과가 됫는데 어느카드사로 전화해야하나요? Bc카드에 전화하니까 등록 되지않은 카드라고 나오네요..
42,"제가 새마을금고 카카오페이 체크카드를 발급 받았는데요. 이 카드랑 카카오톡에서 신청하는 페이카드는 다른건가요?

+ 같은계좌에서 페이카드를 쓰고싶으면 새마을금고 카카오페이 체크카드를 중지하고 신청하면 되나요?"
43,새마을금고 은행에서 카카오페이 카드로 출금하면 수수료 드나요 ?
44,KB국민 카드 체크카드로 카카오페이 농협 전용 계좌로 발급을 받았는데 카카오 페이 카드 잔액 조회하는 방법좀요
45,"만14세이상 청소년인데 통장도새로계설 할려고요
이번년도부터 만14세이상은 청소년증, 초본들고가면 혼자서 체크카드 만들 수 있다더라고요 통장도 같이 만들거라 그런데 도장도 같이 들고가면 될까요 카카오페이는 상관없나요 내공100이요"
46,제가 새마을금고 카카오페이체크카드를 인터넷신청으로 발급받고 카드사용을 하려면 새마을금고 계좌가 있어야 하는건가요???농협계좌가 한개 있긴한데 그 계좌에 카드를 두개 사용 안되지않나요??
